#{"t_start": 1774518987.7821171, "env_id": "None"}
r,l,t
-568.7475,298,351.997939
-537.1477,244,352.742362
-227.4107,46,352.742362
-94.671364,9,354.220817
-855.4025,176,354.592463
-167.06187,75,354.97477
134.9179,109,355.400058
-832.7477,358,355.907912
-391.67035,197,357.028749
-367.55594,85,357.407883
-131.5031,154,358.184371
-210.26065,44,360.876565
-529.14545,221,361.999762
-302.56314,81,362.36406
-563.8408,287,363.134738
-168.38626,40,363.578104
-356.01367,92,364.709168
-65.82139,5,365.451978
-286.01053,26,365.814388
-134.91887,169,367.695828
-287.32782,45,369.99123
-186.57217,183,370.727475
3.4573975,16,371.889308
-7.5266037,39,373.019592
-159.65259,9,373.402429
-72.64031,11,374.88814
-9.947365,29,378.653345
-1371.19,311,379.381741
-165.38977,59,379.381741
-213.5145,181,379.381741
-264.1306,85,382.259325
-268.68774,97,384.906858
-67.883606,19,387.176476
-63.00344,21,387.925946
-658.22314,93,388.641087
-172.2031,45,390.515701
-90.67465,73,390.515701
-328.8454,96,391.259519
-690.7265,207,391.259519
-491.15723,226,394.658583
-213.08951,281,396.141098
-154.22687,183,396.912075
149.39415,92,398.531789
-155.81242,29,398.900357
358.95782,140,399.270598
285.27612,175,401.142478
-505.5761,134,401.874256
150.11668,182,402.265584
-221.53424,30,402.678519
-73.806526,14,403.784006
-106.505806,4,405.278821
-13.705582,234,406.423734
-849.3042,333,407.538295
-110.00217,114,408.292024
-414.37805,312,408.667652
-251.43591,71,409.554669
-87.92482,33,411.841371
-201.3392,68,414.475255
99.03819,183,416.704074
49.829605,46,420.230339
227.8617,42,421.397003
-94.47895,33,422.232965
15.103981,106,425.541009
177.56691,189,430.238564
-39.420387,134,431.656554
-32.10817,77,432.046223
-188.69153,81,432.879487
-762.95874,236,433.307178
178.68835,66,434.964301
97.68039,54,436.130436
-203.66931,248,437.74148
264.9579,166,438.174261
-137.55206,206,440.933753
102.54503,88,441.308876
-45.483646,85,441.308876
262.21002,161,441.686743
-159.84605,148,444.844517
-545.5875,231,445.318566
105.32422,120,446.105293
-113.64704,143,446.4841
-562.61536,224,449.327897
-141.40993,254,449.725698
-360.65414,221,451.62827
-97.76865,248,451.62827
-93.12131,27,452.006083
26.651619,55,453.873473
162.14697,94,454.264672
-42.063393,24,454.679962
-364.06674,266,458.140092
32.42891,119,459.098314
-418.20096,216,459.504709
-446.19708,278,460.2606
137.82143,36,460.2606
23.085129,18,461.482031
22.689407,14,464.980155
51.084747,54,466.141231
-319.7888,191,466.141231
-209.38838,46,467.683886
-1179.5208,361,468.802309
-1336.9984,361,469.978838
161.40723,94,469.978838
-46.663727,198,472.341597
-391.97144,183,474.251978
-76.14525,23,476.495565
-165.35156,100,477.241471
96.16905,111,478.341028
-730.6175,274,478.728023
155.55669,76,478.728023
87.15553,98,479.52546
217.5806,186,481.410461
62.6978,28,482.91181
209.20847,77,483.663548
114.89903,108,483.663548
180.42957,113,484.808534
262.5854,64,486.01861
152.81052,54,486.976509
232.17188,166,487.802878
-36.04934,87,491.930317
-48.59377,110,494.608636
-243.37848,43,495.368857
310.87167,129,496.541179
-496.12286,193,497.305924
179.59064,166,498.221862
187.60681,80,499.741799
75.01801,179,505.959168
-297.60062,190,505.960165
194.4227,76,506.727693
-51.991257,142,506.728694
-107.85626,143,507.110765
-622.24225,208,507.110765
-35.20759,40,507.502421
53.809387,110,508.710917
37.998184,93,510.240921
-1048.0417,293,510.601885
-87.89984,12,511.741376
144.90688,110,512.615923
-484.92148,194,513.401138
-761.4745,237,513.401138
209.68875,75,515.297476
-115.8724,131,515.677498
-76.329315,80,516.074272
-165.66812,11,517.578161
-80.81415,19,517.962524
171.17715,91,518.340557
248.8353,69,522.343604
-27.781761,17,522.727293
488.48795,118,524.618995
163.51804,71,525.015116
381.47296,122,526.93511
-501.697,176,527.316694
-316.7442,57,529.268634
-27.345764,125,530.056617
-1130.202,361,531.267524
270.28122,65,531.267524
100.98123,188,533.158833
159.914,55,533.938575
-18.601028,131,534.68838
